rust_path	kind	rust_signature	disposition	python_path	exclusion_kind	rationale
jbotci_diagnostics::DEFAULT_TRACE_LIMIT	constant	usize	direct	jbotci.diagnostics.DEFAULT_TRACE_LIMIT		
jbotci_diagnostics::Diagnostic	struct	()	direct	jbotci.diagnostics.Diagnostic		
jbotci_diagnostics::Diagnostic::code	field	String	direct	jbotci.diagnostics.Diagnostic.code		
jbotci_diagnostics::Diagnostic::labels	field	Vec < DiagnosticLabel >	direct	jbotci.diagnostics.Diagnostic.labels		
jbotci_diagnostics::Diagnostic::message	field	String	direct	jbotci.diagnostics.Diagnostic.message		
jbotci_diagnostics::Diagnostic::message_segments	field	Vec < DiagnosticTextSegment >	direct	jbotci.diagnostics.Diagnostic.message_segments		
jbotci_diagnostics::Diagnostic::new	method	fn new (severity : DiagnosticSeverity , phase : DiagnosticPhase , code : String , message : String , labels : Vec < DiagnosticLabel > , notes : Vec < String > , word_index : Option < usize > ,) -> Self	subsumed	jbotci.diagnostics.Diagnostic		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::Diagnostic::note_segments	field	Vec < Vec < DiagnosticTextSegment > >	direct	jbotci.diagnostics.Diagnostic.note_segments		
jbotci_diagnostics::Diagnostic::notes	field	Vec < String >	direct	jbotci.diagnostics.Diagnostic.notes		
jbotci_diagnostics::Diagnostic::phase	field	DiagnosticPhase	direct	jbotci.diagnostics.Diagnostic.phase		
jbotci_diagnostics::Diagnostic::primary_label	method	fn primary_label (& self) -> & DiagnosticLabel	direct	jbotci.diagnostics.Diagnostic.primary_label		
jbotci_diagnostics::Diagnostic::severity	field	DiagnosticSeverity	direct	jbotci.diagnostics.Diagnostic.severity		
jbotci_diagnostics::Diagnostic::styled_notes	field	Vec < DiagnosticStyledNote >	direct	jbotci.diagnostics.Diagnostic.styled_notes		
jbotci_diagnostics::Diagnostic::with_styled_notes	method	fn with_styled_notes (self , styled_notes : Vec < DiagnosticStyledNote >) -> Self	subsumed	jbotci.diagnostics.Diagnostic		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::Diagnostic::word_index	field	Option < usize >	direct	jbotci.diagnostics.Diagnostic.word_index		
jbotci_diagnostics::DiagnosticDetailMode	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.DiagnosticDetailMode		
jbotci_diagnostics::DiagnosticDetailMode::ALL	associated-constant	&'static [Self]	subsumed	jbotci.diagnostics.DiagnosticDetailMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticDetailMode::Detailed	variant	unit	subsumed	jbotci.diagnostics.DiagnosticDetailMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticDetailMode::Summary	variant	unit	subsumed	jbotci.diagnostics.DiagnosticDetailMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticDetailMode::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.DiagnosticDetailMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticLabel	struct	()	direct	jbotci.diagnostics.DiagnosticLabel		
jbotci_diagnostics::DiagnosticLabel::message	field	String	direct	jbotci.diagnostics.DiagnosticLabel.message		
jbotci_diagnostics::DiagnosticLabel::message_segments	field	Vec < DiagnosticTextSegment >	direct	jbotci.diagnostics.DiagnosticLabel.message_segments		
jbotci_diagnostics::DiagnosticLabel::new	method	fn new (span : SourceSpan , message : String , primary : bool) -> Self	subsumed	jbotci.diagnostics.DiagnosticLabel		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticLabel::primary	field	bool	direct	jbotci.diagnostics.DiagnosticLabel.primary		
jbotci_diagnostics::DiagnosticLabel::span	field	SourceSpan	direct	jbotci.diagnostics.DiagnosticLabel.span		
jbotci_diagnostics::DiagnosticNoteMode	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.DiagnosticNoteMode		
jbotci_diagnostics::DiagnosticNoteMode::ALL	associated-constant	&'static [Self]	subsumed	jbotci.diagnostics.DiagnosticNoteMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticNoteMode::Always	variant	unit	subsumed	jbotci.diagnostics.DiagnosticNoteMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticNoteMode::Detailed	variant	unit	subsumed	jbotci.diagnostics.DiagnosticNoteMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticNoteMode::Summary	variant	unit	subsumed	jbotci.diagnostics.DiagnosticNoteMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticNoteMode::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.DiagnosticNoteMode		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticNoteMode::visible_in	method	fn visible_in (self , detail : DiagnosticDetailMode) -> bool	direct	jbotci.diagnostics.DiagnosticNoteMode.visible_in		
jbotci_diagnostics::DiagnosticPhase	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.DiagnosticPhase		
jbotci_diagnostics::DiagnosticPhase::ALL	associated-constant	&'static [Self]	subsumed	jbotci.diagnostics.DiagnosticPhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticPhase::Morphology	variant	unit	subsumed	jbotci.diagnostics.DiagnosticPhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticPhase::SemanticProjection	variant	unit	subsumed	jbotci.diagnostics.DiagnosticPhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticPhase::Syntax	variant	unit	subsumed	jbotci.diagnostics.DiagnosticPhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticPhase::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.DiagnosticPhase		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSeverity	enum	macro-generated fieldless enum	direct	jbotci.diagnostics.DiagnosticSeverity		
jbotci_diagnostics::DiagnosticSeverity::ALL	associated-constant	&'static [Self]	subsumed	jbotci.diagnostics.DiagnosticSeverity		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSeverity::Advice	variant	unit	subsumed	jbotci.diagnostics.DiagnosticSeverity		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSeverity::Error	variant	unit	subsumed	jbotci.diagnostics.DiagnosticSeverity		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSeverity::Warning	variant	unit	subsumed	jbotci.diagnostics.DiagnosticSeverity		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSeverity::name	method	fn name(self) -> &'static str	subsumed	jbotci.diagnostics.DiagnosticSeverity		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError	enum	()	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::ByteOffsetNotCharBoundary	variant	{ offset : usize }	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::ByteOffsetNotCharBoundary::offset	field	usize	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
jbotci_diagnostics::DiagnosticSpanError::ByteOffsetOutOfBounds	variant	{ offset : usize , source_len : usize }	subsumed	jbotci.source.DiagnosticSpanError		Python exposes the same information through this named immutable class, closed union, constructor, property, or normalized operation.
